Model,Trial,Final Val MSE,Best Val MSE,Best MSE Epoch,Final Rayleigh,Best Rayleigh
$K=1$,0,0.0007085398338838526,0.0006951434233443995,193,0.07589380030229592,0.037146870651917095
$K=1$,1,0.0006853967549050593,0.000646950715459519,37,0.09813066353653646,0.054697732636883004
$K=1$,2,0.0006747959177189658,0.0006284077681715606,45,0.10090574095393443,0.03393989832253213
$K=1$,3,0.0006881757323533658,0.0006610243251677241,31,0.09708839835255009,0.07228980514748841
$K=1$,4,0.0006797322187003467,0.0006603448269690456,50,0.09842097341634665,0.03969906071189103
$K=3$,0,0.0007030609059976403,0.0006961473649004996,143,0.22772196191511337,0.2222012968579675
$K=3$,1,0.0007424110053637569,0.0007022697170463042,21,0.2966373576100465,0.296547138766878
$K=3$,2,0.0007376726663372933,0.0007034885766560876,0,0.29712098229462935,0.29712098229462935
$K=3$,3,0.0006996371931568209,0.0006939028010366971,150,0.22482458620694032,0.22177705614809778
$K=3$,4,0.023543633001434455,0.023542195945069774,194,0.03280758230122411,0.03273972362327348
$K=5$,0,0.03142972606437009,0.03136878516046892,24,0.41773967872000045,0.36227381760907024
$K=5$,1,0.03115469000657046,0.031124912692910744,141,0.4234163007538789,0.3889980921699743
$K=5$,2,0.03169728622739267,0.031648980680746286,72,0.4101030353907567,0.3545003271406623
$K=5$,3,0.0009043600804590374,0.0008861286037620735,30,0.3626517549062231,0.3542601530718955
$K=5$,4,0.0009080273413664607,0.000880292634929483,59,0.3656419358056062,0.35505468811199165
$K=7$,0,0.0283637893404741,0.028314443369943067,117,0.08344846593726213,0.08310329529700006
$K=7$,1,0.0328025409875539,0.03277803462796954,195,0.3595621490934093,0.35952371453783316
$K=7$,2,0.0009163608609657374,0.000899685688618632,180,0.3595184848946371,0.3595184848946371
$K=7$,3,0.030894012077914333,0.030887476875187142,97,0.24224150076413611,0.241908466740019
$K=7$,4,0.000784323565091487,0.000709393267761284,22,0.21201200280219887,0.21151700426059164
$K=9$,0,0.0009147825516648063,0.000901460184625762,158,0.3595477986107966,0.3595477986107966
$K=9$,1,0.0008999155869770699,0.0008978251760588988,187,0.3595004877087417,0.35949942279773156
$K=9$,2,0.03281414596046935,0.03276711533968695,143,0.3595060508721953,0.35949355781457987
$K=9$,3,0.03281557043774346,0.032777454610663365,158,0.3594925644671082,0.35948956904897267
$K=9$,4,0.0009265553252645188,0.0009032082093492912,157,0.35949153998854816,0.3594915308770101
